UID          PID    PPID  C STIME TTY          TIME CMD
root         109       2  0 05:12 ?        00:00:00 [irq/117-42860000.mmc cd]
root         110       2  0 05:12 ?        00:00:00 [kworker/0:3-events]
root         111       2  0 05:12 ?        00:00:00 [kworker/0:4]
root         112       2  0 05:12 ?        00:00:00 [kworker/R-mmc_complete]
root         113       2  0 05:12 ?        00:00:00 [spi2]
root         117       2  0 05:12 ?        00:00:00 [jbd2/mmcblk0p2-8]
root         118       2  0 05:12 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         120       2  0 05:12 ?        00:00:00 [kworker/1:3-cgroup_free]
root         148       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         155       2  0 05:12 ?        00:00:00 [kworker/0:2H-mmc_complete]
root         157       2  0 05:12 ?        00:00:00 [kworker/R-MOAL_HANG_WORK_QUEUE]
root         164       2  0 05:12 ?        00:00:00 [kworker/R-MOAL_WORK_QUEUE]
root         165       2  0 05:12 ?        00:00:00 [kworker/R-MOAL_EVT_WORK_QUEUE]
root         166       2  0 05:12 ?        00:00:00 [kworker/R-MOAL_RX_WORK_QUEUE]
root         167       2  0 05:12 ?        00:00:00 [kworker/R-MOAL_TX_WORK_QUEUE]
root         168       2  0 05:12 ?        00:00:00 [woal_reassoc_service]
systemd+     189       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         192       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         194       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         195     192  0 05:12 ?        00:00:00 systemd-userwork: waiting...
root         196     192  0 05:12 ?        00:00:00 systemd-userwork: waiting...
root         197     192  0 05:12 ?        00:00:00 systemd-userwork: waiting...
root         208       2  0 05:12 ?        00:00:00 [kworker/u9:1-MOAL_RX_WORK_QUEUE]
root         224       2  0 05:12 ?        00:00:00 [kworker/R-CSAmlan-2096417823]
root         225       2  0 05:12 ?        00:00:00 [kworker/R-MCLIST_WORK_QUEUE]
root         226       2  0 05:12 ?        00:00:00 [kworker/u9:2-MOAL_WORK_QUEUE]
root         227       2  0 05:12 ?        00:00:00 [kworker/R-CSAuap-2096417824]
root         228       2  0 05:12 ?        00:00:00 [kworker/R-MCLIST_WORK_QUEUE]
root         234       2  0 05:12 ?        00:00:00 [kworker/R-CSAwfd-2096417824]
root         235       2  0 05:12 ?        00:00:00 [kworker/R-MCLIST_WORK_QUEUE]
root         237       2  0 05:12 ?        00:00:00 [irq/121-wifi_oob_wakeup]
root         251       2  0 05:12 ?        00:00:00 [kworker/1:4-cgroup_free]
rpc          263       1  0 05:12 ?        00:00:00 /usr/sbin/rpcbind -w -f
systemd+     266       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         404       1  0 05:12 ?        00:00:00 /usr/sbin/ModemManager
root         409       1  0 05:12 ?        00:00:00 /usr/sbin/atd -f
avahi        410       1  0 05:12 ?        00:00:00 avahi-daemon: running [imx93-11x11-lpddr4x-frdm.local]
root         420       1  0 05:12 ?        00:00:00 /usr/sbin/crond -n
message+     426       1  0 05:12 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         427       1  0 05:12 ?        00:00:00 /usr/bin/firmwared -d /lib/firmware
root         439       1  0 05:12 ?        00:00:00 /usr/sbin/ofonod -n
parsec       440       1  0 05:12 ?        00:00:00 /usr/libexec/parsec/parsec --config /etc/parsec/config.toml
root         441       1  0 05:12 ?        00:00:00 seatd -g seat
root         442       1  0 05:12 ?        00:00:00 /usr/sbin/syslogd -F
root         443       2  0 05:12 ?        00:00:00 [kworker/1:2H-kblockd]
root         445       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-logind
avahi        466     410  0 05:12 ?        00:00:00 avahi-daemon: chroot helper
systemd+     475       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-networkd
root         515       1  0 05:12 ?        00:00:00 /bin/sh /usr/local/sbin/kinetics-network-guard.sh
ntp          516       1  0 05:12 ?        00:00:00 /usr/sbin/ntpd -u ntp:ntp -n -g
root         523       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-networkd-wait-online --any
root         527       1  0 05:12 ?        00:00:00 /usr/bin/containerd
root         536       1  0 05:12 tty1     00:00:00 /sbin/agetty -o -- \u --noreset --noclear - linux
root         537       1  0 05:12 ttyLP0   00:00:00 /sbin/agetty -o -- \u --noreset --noclear --keep-baud 115200,57600,38400,9600 - vt220
root         568       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd --user
root         572     568  0 05:12 ?        00:00:00 (sd-pam)
root         574       2  0 05:12 ?        00:00:00 [jbd2/mmcblk1p1-8]
root         575       2  0 05:12 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         576       2  0 05:12 ?        00:00:00 [ext4lazyinit]
root         599     568  0 05:12 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         600     568  0 05:12 ?        00:00:00 /usr/bin/pipewire
root         623     568  0 05:12 ?        00:00:00 /usr/bin/wireplumber
root         624     568  0 05:12 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
root         625     568  0 05:12 ?        00:00:00 /usr/bin/pipewire-pulse
teesuppl     627       1  0 05:12 ?        00:00:00 /usr/sbin/tee-supplicant
root         674       1  0 05:12 ?        00:00:00 wpa_supplicant -B -Dnl80211 -i mlan0 -c /run/ems-wpa-mlan0.conf
root         781       1  2 05:12 ?        00:00:01 /bin/cloudflared --no-autoupdate --config /etc/cloudflared/config.yml tunnel run
root         848       1  0 05:12 ?        00:00:00 sshd-session: root [priv]
root         849     848  0 05:12 ?        00:00:00 [sshd] <defunct>
root         853     848  0 05:12 ?        00:00:00 sshd-session: root@pts/0
root         854     853  0 05:12 pts/0    00:00:00 -sh
root         936     515  0 05:13 ?        00:00:00 sleep 5
root         937     854  1 05:13 pts/0    00:00:00 /bin/bash /root/build_gateway_release_bundle.sh
root         999     937 99 05:13 pts/0    00:00:00 ps -ef
