event_id,source_id,bess_id,dominant_state,start_utc,end_utc,duration_sec,row_count,max_score,top_categories,top_reason,max_pcs_phase_voltage_imbalance,max_pcs_phase_current_imbalance,max_pcs_dc_current_vs_bms_current_delta,max_pcs_dc_voltage_vs_bms_voltage_delta,max_bms_cell_voltage_spread,max_bms_temperature_spread,max_pcs_fault_flag_count,max_bms_fault_flag_count
1,external_ems_1,bess_1,warning,2026-08-10T13:31:31.053372+00:00,2026-08-10T13:31:33.053572+00:00,2.0,3,0.6458,data_quality,Telemetry quality is not good,0.6,0.8,0.0,0.0,1.0,1.7,0.0,0.0
2,external_ems_1,bess_1,warning,2026-08-10T17:24:54.285934+00:00,2026-08-10T17:24:54.285934+00:00,0.0,1,0.3819,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.0; PCS DC current and BMS current mismatch: 21.8,0.6,24.0,21.8,1.2,2.0,1.6,0.0,0.0
3,external_ems_1,bess_1,warning,2026-08-10T18:48:52.285339+00:00,2026-08-10T18:48:52.285339+00:00,0.0,1,0.4751,pcs_phase_current_imbalance,PCS phase current imbalance high: 28.0,0.2,28.0,0.5,0.6,2.0,1.5,0.0,0.0
4,external_ems_1,bess_1,warning,2026-08-10T19:22:58.295782+00:00,2026-08-10T19:22:58.295782+00:00,0.0,1,0.392,pcs_phase_current_imbalance,PCS phase current imbalance high: 24.5,1.0,24.5,5.6,0.3,3.0,1.6,0.0,0.0
5,external_ems_1,bess_1,warning,2026-08-10T21:24:37.296242+00:00,2026-08-10T21:24:37.296242+00:00,0.0,1,0.3682,pcs_phase_current_imbalance,PCS phase current imbalance high: 23.5,1.1,23.5,18.0,0.2,3.0,1.5,0.0,0.0
6,external_ems_2,bess_2,warning,2026-08-10T13:31:31.053372+00:00,2026-08-10T13:31:35.055322+00:00,4.002,5,0.6458,data_quality,Telemetry quality is not good,0.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0
7,external_ems_1,bess_1,warning,2026-08-11T20:42:59.618670+00:00,2026-08-11T20:42:59.618670+00:00,0.0,1,0.3801,pcs_phase_current_imbalance,PCS phase current imbalance high: 24.0,0.6,24.0,17.5,1.3,1.0,1.6,0.0,0.0
8,external_ems_2,bess_2,warning,2026-08-12T05:34:19.618577+00:00,2026-08-12T05:34:24.619207+00:00,5.001,6,0.4323,pcs_phase_current_imbalance,PCS phase current imbalance high: 26.2,1.0,26.2,13.3,1.3,2.0,1.0,0.0,0.0
9,external_ems_2,bess_2,warning,2026-08-12T06:28:53.630006+00:00,2026-08-12T06:28:54.618693+00:00,0.989,2,0.3681,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 8.6; PCS DC current and BMS current mismatch: 42.9,1.1,8.6,42.9,3.8,2.0,1.1,0.0,0.0
10,external_ems_1,bess_1,warning,2026-08-12T06:28:37.618580+00:00,2026-08-12T06:29:48.619261+00:00,71.001,27,0.6579,pcs_bms_current_mismatch;pcs_phase_current_imbalance;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 24.7,1.2,25.3,75.8,7.4,4.0,2.0,0.0,0.0
11,external_ems_1,bess_1,warning,2026-08-12T21:58:52.618582+00:00,2026-08-12T21:58:52.618582+00:00,0.0,1,0.3611,pcs_phase_current_imbalance,PCS phase current imbalance high: 23.2,0.2,23.2,0.2,0.2,1.0,1.5,0.0,0.0
12,external_ems_2,bess_2,warning,2026-08-12T06:29:43.618944+00:00,2026-08-12T06:29:49.618575+00:00,6.0,7,0.6947,pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 23.9; PCS DC voltage and BMS voltage mismatch: 9.2; PCS DC current and BMS current mismatch: 60.2,1.0,23.9,60.2,9.2,2.0,1.2,0.0,0.0
13,external_ems_2,bess_2,warning,2026-08-13T08:08:58.630124+00:00,2026-08-13T08:09:37.629401+00:00,38.999,20,0.6566,pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 25.1; PCS DC current and BMS current mismatch: 54.0,1.6,25.1,60.3,7.2,3.0,1.1,0.0,0.0
14,external_ems_1,bess_1,warning,2026-08-13T08:08:10.629190+00:00,2026-08-13T08:09:38.618612+00:00,87.989,35,0.6414,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.0,1.6,27.2,64.2,2.7,5.0,1.9,0.0,0.0
15,external_ems_2,bess_2,warning,2026-08-13T08:11:39.618704+00:00,2026-08-13T08:11:42.628817+00:00,3.01,4,0.6549,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 16.8; PCS DC current and BMS current mismatch: 65.1,1.2,16.8,65.1,4.1,1.0,1.2,0.0,0.0
16,external_ems_1,bess_1,warning,2026-08-13T08:11:40.628815+00:00,2026-08-13T08:11:41.618560+00:00,0.99,2,0.6428,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.2; PCS DC current and BMS current mismatch: 72.1,0.6,1.8,72.1,5.2,2.0,1.8,0.0,0.0
17,external_ems_1,bess_1,warning,2026-08-13T08:13:43.618675+00:00,2026-08-13T08:13:46.618577+00:00,3.0,4,0.3745,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 20.1; PCS DC current and BMS current mismatch: 42.2,0.5,20.1,42.2,1.8,1.0,1.9,0.0,0.0
18,external_ems_2,bess_2,warning,2026-08-13T08:13:37.618756+00:00,2026-08-13T08:13:45.618925+00:00,8.0,4,0.6233,pcs_bms_current_mismatch;pcs_phase_current_imbalance;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 9.2; PCS DC current and BMS current mismatch: 44.1,0.6,9.2,58.7,5.4,2.0,1.3,0.0,0.0
19,external_ems_2,bess_2,warning,2026-08-13T08:16:03.629975+00:00,2026-08-13T08:16:04.618626+00:00,0.989,2,0.3535,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 12.7; PCS DC current and BMS current mismatch: 41.6,0.8,12.7,41.6,1.2,1.0,1.2,0.0,0.0
20,external_ems_2,bess_2,warning,2026-08-13T08:16:34.629132+00:00,2026-08-13T08:16:35.618799+00:00,0.99,2,0.5628,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 55.1,0.4,5.4,55.1,1.3,2.0,1.1,0.0,0.0
21,external_ems_1,bess_1,warning,2026-08-13T08:15:41.618599+00:00,2026-08-13T08:16:05.618598+00:00,24.0,8,0.6414,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 63.4,1.0,4.4,67.5,2.1,3.0,1.9,0.0,0.0
22,external_ems_2,bess_2,warning,2026-08-13T08:18:15.629687+00:00,2026-08-13T08:18:20.618574+00:00,4.989,6,0.3874,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 8.6; PCS DC current and BMS current mismatch: 44.1,1.3,8.6,44.1,0.8,2.0,1.1,0.0,0.0
23,external_ems_1,bess_1,warning,2026-08-13T08:20:50.618570+00:00,2026-08-13T08:20:55.618584+00:00,5.0,6,0.6526,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 50.6; PCS DC current and BMS current mismatch: 30.8,0.4,50.6,30.8,1.4,3.0,1.9,0.0,0.0
24,external_ems_1,bess_1,warning,2026-08-13T08:21:54.629387+00:00,2026-08-13T08:21:59.618598+00:00,4.989,6,0.3516,pcs_phase_current_imbalance,PCS phase current imbalance high: 22.8,1.0,22.8,11.2,0.2,3.0,1.9,0.0,0.0
25,external_ems_2,bess_2,warning,2026-08-13T08:21:50.629616+00:00,2026-08-13T08:21:51.618585+00:00,0.989,2,0.392,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 12.7; PCS DC current and BMS current mismatch: 44.0,1.8,12.7,44.0,2.7,2.0,1.1,0.0,0.0
26,external_ems_2,bess_2,warning,2026-08-13T08:24:10.619172+00:00,2026-08-13T08:24:21.619112+00:00,11.0,10,0.4142,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.3,0.8,24.3,45.6,2.9,2.0,1.1,0.0,0.0
27,external_ems_1,bess_1,warning,2026-08-13T08:23:16.628928+00:00,2026-08-13T08:24:50.618570+00:00,93.99,41,0.6241,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 25.3,1.4,26.6,58.3,3.1,4.0,2.0,0.0,0.0
28,external_ems_2,bess_2,warning,2026-08-13T08:25:40.629251+00:00,2026-08-13T08:25:44.628888+00:00,4.0,5,0.5917,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 56.9,1.3,6.6,56.9,1.9,2.0,1.2,0.0,0.0
29,external_ems_1,bess_1,warning,2026-08-13T08:25:48.629427+00:00,2026-08-13T08:25:49.619522+00:00,0.99,2,0.6173,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 58.5,1.1,7.0,58.5,2.6,3.0,1.9,0.0,0.0
30,external_ems_1,bess_1,warning,2026-08-13T08:26:38.618571+00:00,2026-08-13T08:26:44.618621+00:00,6.0,7,0.4143,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.1; PCS DC current and BMS current mismatch: 22.7,0.9,24.1,44.3,0.8,4.0,1.9,0.0,0.0
31,external_ems_2,bess_2,warning,2026-08-13T08:26:29.618579+00:00,2026-08-13T08:26:34.618633+00:00,5.0,6,0.6414,pcs_phase_current_imbalance,PCS phase current imbalance high: 37.8,1.1,37.8,12.3,0.8,2.0,1.3,0.0,0.0
32,external_ems_1,bess_1,warning,2026-08-13T08:27:51.619366+00:00,2026-08-13T08:27:54.618612+00:00,2.999,4,0.4071,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 10.0; PCS DC current and BMS current mismatch: 45.2,0.6,10.0,45.2,1.1,3.0,1.9,0.0,0.0
33,external_ems_1,bess_1,warning,2026-08-13T08:46:47.629695+00:00,2026-08-13T08:46:47.629695+00:00,0.0,1,0.468,pcs_phase_current_imbalance,PCS phase current imbalance high: 27.7,0.7,27.7,9.4,1.0,2.0,2.2,0.0,0.0
34,external_ems_1,bess_1,warning,2026-08-13T15:25:41.618942+00:00,2026-08-13T15:25:41.618942+00:00,0.0,1,0.3753,pcs_phase_current_imbalance,PCS phase current imbalance high: 23.8,0.6,23.8,18.6,1.0,1.0,1.5,0.0,0.0
35,external_ems_2,bess_2,warning,2026-08-13T08:28:44.618581+00:00,2026-08-13T08:28:47.619287+00:00,3.001,4,0.3935,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 10.5; PCS DC current and BMS current mismatch: 44.3,1.4,10.5,44.3,2.1,2.0,1.3,0.0,0.0
36,external_ems_1,bess_1,warning,2026-08-14T04:00:24.618580+00:00,2026-08-14T04:00:33.618581+00:00,9.0,8,0.3784,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS phase current imbalance high: 22.7; PCS DC current and BMS current mismatch: 36.9,0.8,22.7,43.6,3.6,2.0,1.6,0.0,0.0
37,external_ems_2,bess_2,warning,2026-08-14T04:02:00.618743+00:00,2026-08-14T04:02:01.630336+00:00,1.012,2,0.3538,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 11.8; PCS DC current and BMS current mismatch: 41.7,1.0,11.8,41.7,0.3,2.0,0.7,0.0,0.0
38,external_ems_2,bess_2,warning,2026-08-14T04:02:53.618932+00:00,2026-08-14T04:03:09.628802+00:00,16.01,10,0.3784,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 43.6,0.6,5.8,43.6,1.9,3.0,0.8,0.0,0.0
39,external_ems_2,bess_2,warning,2026-08-14T04:04:45.629776+00:00,2026-08-14T04:04:51.618574+00:00,5.989,7,0.5246,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS phase current imbalance high: 13.4; PCS DC current and BMS current mismatch: 52.2,1.9,13.4,52.2,2.5,3.0,0.8,0.0,0.0
40,external_ems_1,bess_1,warning,2026-08-14T04:02:29.628777+00:00,2026-08-14T04:04:09.618681+00:00,99.99,31,0.4681,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.1,0.9,24.8,47.6,1.5,3.0,1.6,0.0,0.0
41,external_ems_2,bess_2,warning,2026-08-14T04:05:36.619846+00:00,2026-08-14T04:05:37.618642+00:00,0.999,2,0.4658,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 14.8; PCS DC current and BMS current mismatch: 48.4,2.2,14.8,48.4,1.1,2.0,0.7,0.0,0.0
42,external_ems_2,bess_2,warning,2026-08-14T04:07:23.618560+00:00,2026-08-14T04:07:29.618573+00:00,6.0,7,0.5728,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 12.4; PCS DC current and BMS current mismatch: 55.3,1.0,12.4,55.3,1.1,2.0,0.8,0.0,0.0
43,external_ems_1,bess_1,warning,2026-08-14T04:06:36.629100+00:00,2026-08-14T04:06:42.618953+00:00,5.99,7,0.4015,pcs_phase_current_imbalance,PCS phase current imbalance high: 24.9,1.4,24.9,6.6,0.3,2.0,1.6,0.0,0.0
44,external_ems_2,bess_2,warning,2026-08-14T04:08:52.629114+00:00,2026-08-14T04:08:53.618561+00:00,0.989,2,0.3608,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 42.5,0.8,8.0,42.5,2.3,3.0,0.8,0.0,0.0
45,external_ems_1,bess_1,warning,2026-08-14T04:09:04.628687+00:00,2026-08-14T04:10:36.628856+00:00,92.0,21,0.6418,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS phase current imbalance high: 9.0; PCS DC current and BMS current mismatch: 53.7,1.0,21.0,62.4,2.1,3.0,1.7,0.0,0.0
46,external_ems_1,bess_1,warning,2026-08-14T04:11:21.629139+00:00,2026-08-14T04:12:11.618574+00:00,49.989,25,0.6004,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 26.1,1.3,26.1,57.3,1.3,3.0,1.6,0.0,0.0
47,external_ems_1,bess_1,warning,2026-08-14T04:12:44.628957+00:00,2026-08-14T04:12:49.618566+00:00,4.99,6,0.5366,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 22.3; PCS DC current and BMS current mismatch: 52.1,0.6,22.3,52.1,1.3,3.0,1.6,0.0,0.0
48,external_ems_2,bess_2,warning,2026-08-14T04:09:37.629063+00:00,2026-08-14T04:09:42.618569+00:00,4.99,6,0.6414,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 42.6,1.2,7.5,70.1,3.2,2.0,0.8,0.0,0.0
49,external_ems_1,bess_1,warning,2026-08-14T04:13:43.618587+00:00,2026-08-14T04:14:12.629277+00:00,29.011,7,0.6414,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 19.2; PCS DC current and BMS current mismatch: 48.6,0.7,71.1,48.6,2.4,2.0,1.7,0.0,0.0
50,external_ems_2,bess_2,warning,2026-08-14T04:14:47.628921+00:00,2026-08-14T04:15:58.629854+00:00,71.001,17,0.5824,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.3,1.0,23.3,56.1,4.4,3.0,1.0,0.0,0.0
51,external_ems_1,bess_1,warning,2026-08-14T04:14:51.629918+00:00,2026-08-14T04:14:56.618612+00:00,4.989,6,0.6357,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 29.4; PCS DC current and BMS current mismatch: 30.7,1.1,29.4,57.6,4.1,1.0,1.6,0.0,0.0
52,external_ems_1,bess_1,warning,2026-08-14T04:17:04.629649+00:00,2026-08-14T04:17:09.618642+00:00,4.989,6,0.5811,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 31.8; PCS DC current and BMS current mismatch: 35.2,0.9,31.8,35.2,0.8,3.0,1.7,0.0,0.0
53,external_ems_1,bess_1,warning,2026-08-14T04:18:20.630646+00:00,2026-08-14T04:18:25.618566+00:00,4.988,6,0.3748,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.6,0.6,23.6,24.1,1.5,2.0,1.7,0.0,0.0
54,external_ems_2,bess_2,warning,2026-08-14T04:17:01.618563+00:00,2026-08-14T04:17:12.618577+00:00,11.0,8,0.6414,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS DC current and BMS current mismatch: 62.9,1.2,13.4,62.9,3.0,3.0,1.0,0.0,0.0
55,external_ems_1,bess_1,warning,2026-08-14T04:35:33.629148+00:00,2026-08-14T04:35:52.629145+00:00,19.0,12,0.4971,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.0,1.2,23.0,51.0,1.3,4.0,1.7,0.0,0.0
56,external_ems_1,bess_1,warning,2026-08-14T04:44:14.629718+00:00,2026-08-14T04:44:32.628871+00:00,17.999,12,0.5535,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 31.3,0.9,31.3,47.5,3.0,3.0,1.8,0.0,0.0
57,external_ems_1,bess_1,warning,2026-08-14T04:47:05.628752+00:00,2026-08-14T04:47:11.629418+00:00,6.001,7,0.4166,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.5,0.9,24.5,43.8,0.1,2.0,1.8,0.0,0.0
58,external_ems_1,bess_1,warning,2026-08-14T04:48:21.619127+00:00,2026-08-14T04:48:33.618593+00:00,11.999,13,0.6489,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 12.9; PCS DC current and BMS current mismatch: 43.9,0.9,17.1,69.4,4.3,3.0,1.7,0.0,0.0
59,external_ems_2,bess_2,warning,2026-08-14T04:44:11.618582+00:00,2026-08-14T04:44:16.628665+00:00,5.01,6,0.6414,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 62.0,1.4,6.5,65.7,3.5,1.0,0.9,0.0,0.0
60,external_ems_2,bess_2,warning,2026-08-14T04:52:18.618586+00:00,2026-08-14T04:52:19.629003+00:00,1.01,2,0.3937,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 13.8; PCS DC current and BMS current mismatch: 44.0,1.6,13.8,44.0,0.0,3.0,1.0,0.0,0.0
61,external_ems_1,bess_1,warning,2026-08-14T04:50:09.618571+00:00,2026-08-14T04:50:14.618572+00:00,5.0,6,0.4276,pcs_phase_current_imbalance,PCS phase current imbalance high: 26.0,2.1,26.0,4.0,1.0,3.0,1.8,0.0,0.0
62,external_ems_1,bess_1,warning,2026-08-14T04:53:53.618577+00:00,2026-08-14T04:54:34.628712+00:00,41.01,17,0.4148,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 13.8; PCS DC current and BMS current mismatch: 44.4,1.1,25.4,44.4,1.7,3.0,1.8,0.0,0.0
63,external_ems_2,bess_2,warning,2026-08-14T04:53:22.629183+00:00,2026-08-14T04:53:23.618593+00:00,0.989,2,0.4233,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 11.1; PCS DC current and BMS current mismatch: 46.1,1.4,11.1,46.1,0.9,3.0,1.1,0.0,0.0
64,external_ems_2,bess_2,warning,2026-08-14T04:55:16.618585+00:00,2026-08-14T04:55:17.618570+00:00,1.0,2,0.4083,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 16.0; PCS DC current and BMS current mismatch: 44.7,1.4,16.0,44.7,1.2,2.0,1.0,0.0,0.0
65,external_ems_1,bess_1,warning,2026-08-14T04:55:07.618573+00:00,2026-08-14T04:55:12.618603+00:00,5.0,6,0.6248,pcs_phase_current_imbalance,PCS phase current imbalance high: 34.3,0.5,34.3,15.4,0.5,2.0,1.7,0.0,0.0
66,external_ems_1,bess_1,warning,2026-08-14T04:56:42.629866+00:00,2026-08-14T04:57:02.618591+00:00,19.989,15,0.5676,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS phase current imbalance high: 25.2; PCS DC current and BMS current mismatch: 48.1,0.6,25.2,55.4,3.3,4.0,1.8,0.0,0.0
67,external_ems_2,bess_2,warning,2026-08-14T04:56:21.618580+00:00,2026-08-14T04:57:22.618567+00:00,61.0,18,0.6414,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS phase current imbalance high: 11.6; PCS DC current and BMS current mismatch: 45.5,1.6,11.6,63.7,4.7,3.0,1.0,0.0,0.0
68,external_ems_1,bess_1,warning,2026-08-14T04:57:45.618581+00:00,2026-08-14T04:58:31.618584+00:00,46.0,12,0.5464,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 44.8,2.2,16.4,53.4,4.2,4.0,1.8,0.0,0.0
69,external_ems_2,bess_2,warning,2026-08-14T04:58:28.630083+00:00,2026-08-14T04:58:32.618573+00:00,3.988,5,0.503,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 17.1; PCS DC current and BMS current mismatch: 50.5,1.0,17.1,50.5,3.7,2.0,1.0,0.0,0.0
70,external_ems_1,bess_1,warning,2026-08-14T04:59:20.618580+00:00,2026-08-14T04:59:25.618565+00:00,5.0,6,0.3682,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 20.2; PCS DC current and BMS current mismatch: 41.3,0.9,20.2,41.8,0.8,3.0,1.8,0.0,0.0
71,external_ems_1,bess_1,warning,2026-08-14T05:00:39.618578+00:00,2026-08-14T05:01:13.618582+00:00,34.0,20,0.4062,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 25.1,1.6,25.1,43.4,2.2,4.0,1.8,0.0,0.0
72,external_ems_2,bess_2,warning,2026-08-14T04:59:55.618563+00:00,2026-08-14T05:00:00.618576+00:00,5.0,6,0.3848,pcs_phase_current_imbalance,PCS phase current imbalance high: 24.2,1.6,24.2,16.1,3.4,3.0,1.0,0.0,0.0
73,external_ems_1,bess_1,warning,2026-08-14T05:05:53.629923+00:00,2026-08-14T05:05:54.618579+00:00,0.989,2,0.388,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 11.1; PCS DC current and BMS current mismatch: 43.9,0.4,11.1,43.9,2.7,3.0,1.8,0.0,0.0
74,external_ems_2,bess_2,warning,2026-08-14T05:17:33.629152+00:00,2026-08-14T05:17:33.629152+00:00,0.0,1,0.6414,pcs_phase_current_imbalance,PCS phase current imbalance high: 43.0,2.2,43.0,5.2,2.0,3.0,1.0,0.0,0.0
75,external_ems_1,bess_1,warning,2026-08-14T05:18:15.629300+00:00,2026-08-14T05:18:54.618584+00:00,38.989,14,0.5003,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.5; PCS DC current and BMS current mismatch: 40.0,1.9,23.5,50.8,3.1,5.0,1.9,0.0,0.0
76,external_ems_2,bess_2,warning,2026-08-14T05:18:17.618709+00:00,2026-08-14T05:18:42.618570+00:00,25.0,7,0.4429,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 47.0,2.4,18.8,47.0,1.7,4.0,1.0,0.0,0.0
77,external_ems_2,bess_2,warning,2026-08-14T05:19:27.618575+00:00,2026-08-14T05:19:28.628843+00:00,1.01,2,0.6169,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.8; PCS DC current and BMS current mismatch: 57.7,2.6,2.8,57.7,6.8,4.0,1.1,0.0,0.0
78,external_ems_1,bess_1,warning,2026-08-14T05:19:26.618574+00:00,2026-08-14T05:19:29.618584+00:00,3.0,4,0.3673,pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 12.9; PCS DC voltage and BMS voltage mismatch: 7.8; PCS DC current and BMS current mismatch: 24.3,1.4,12.9,24.3,7.8,4.0,1.8,0.0,0.0
79,external_ems_1,bess_1,warning,2026-08-14T05:22:33.629494+00:00,2026-08-14T05:23:29.618561+00:00,55.989,33,0.6495,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.0,1.2,24.4,59.6,3.6,5.0,2.0,0.0,0.0
80,external_ems_1,bess_1,warning,2026-08-14T05:24:02.629676+00:00,2026-08-14T05:24:19.628677+00:00,16.999,12,0.4233,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS DC current and BMS current mismatch: 44.7,1.3,24.2,46.4,2.2,5.0,1.9,0.0,0.0
81,external_ems_2,bess_2,warning,2026-08-14T05:22:17.628867+00:00,2026-08-14T05:23:01.618577+00:00,43.99,19,0.6414,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.9,1.5,97.1,57.9,3.6,3.0,1.0,0.0,0.0
82,external_ems_1,bess_1,warning,2026-08-14T05:26:46.629337+00:00,2026-08-14T05:26:47.618582+00:00,0.989,2,0.6074,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 9.9; PCS DC current and BMS current mismatch: 57.7,0.5,9.9,57.7,0.3,6.0,2.0,0.0,0.0
83,external_ems_2,bess_2,warning,2026-08-14T05:27:14.618566+00:00,2026-08-14T05:27:20.618684+00:00,6.0,7,0.5054,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 28.7; PCS DC current and BMS current mismatch: 33.2,1.1,28.7,33.2,1.4,3.0,1.1,0.0,0.0
84,external_ems_2,bess_2,warning,2026-08-14T05:28:32.618764+00:00,2026-08-14T05:28:35.618687+00:00,3.0,4,0.3656,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 42.8,0.6,6.7,42.8,3.1,3.0,1.1,0.0,0.0
85,external_ems_2,bess_2,warning,2026-08-14T05:30:45.618623+00:00,2026-08-14T05:30:48.618575+00:00,3.0,4,0.6476,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.9; PCS DC current and BMS current mismatch: 61.7,0.7,0.9,61.7,5.9,3.0,1.1,0.0,0.0
86,external_ems_2,bess_2,warning,2026-08-14T05:32:55.618617+00:00,2026-08-14T05:32:56.629483+00:00,1.011,2,0.669,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 9.0; PCS DC current and BMS current mismatch: 79.5,4.6,5.3,79.5,9.0,2.0,1.1,0.0,0.0
87,external_ems_2,bess_2,warning,2026-08-14T05:34:56.628673+00:00,2026-08-14T05:34:57.618569+00:00,0.99,2,0.6572,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.3; PCS DC current and BMS current mismatch: 67.5,3.2,3.1,67.5,7.3,4.0,1.1,0.0,0.0
88,external_ems_2,bess_2,warning,2026-08-14T05:36:45.618571+00:00,2026-08-14T05:36:49.618576+00:00,4.0,5,0.5169,pcs_phase_voltage_imbalance;pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase voltage imbalance high: 7.1; PCS phase current imbalance high: 10.9; PCS DC voltage and BMS voltage mismatch: 5.1; PCS DC current and BMS current mismatch: 51.7,7.1,10.9,51.7,5.1,2.0,1.1,0.0,0.0
