event_id,source_id,bess_id,dominant_state,start_utc,end_utc,duration_sec,row_count,max_score,top_categories,top_reason,max_pcs_phase_voltage_imbalance,max_pcs_phase_current_imbalance,max_pcs_dc_current_vs_bms_current_delta,max_pcs_dc_voltage_vs_bms_voltage_delta,max_bms_cell_voltage_spread,max_bms_temperature_spread,max_pcs_fault_flag_count,max_bms_fault_flag_count
437,external_ems_2,bess_2,warning,2026-08-18T06:45:58.628853+00:00,2026-08-18T06:45:59.618582+00:00,0.99,2,0.5645,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.1; PCS DC current and BMS current mismatch: 54.3,0.6,1.7,54.3,7.1,5.0,1.3,0.0,0.0
438,external_ems_2,bess_2,warning,2026-08-18T07:03:28.629882+00:00,2026-08-18T07:03:29.618648+00:00,0.989,2,0.5777,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.0; PCS DC current and BMS current mismatch: 55.6,1.0,1.7,55.6,6.0,2.0,1.3,0.0,0.0
439,external_ems_2,bess_2,warning,2026-08-18T07:07:30.618579+00:00,2026-08-18T07:07:33.628967+00:00,3.01,4,0.4297,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 46.8,3.7,5.1,46.8,3.9,2.0,1.3,0.0,0.0
440,external_ems_2,bess_2,warning,2026-08-18T07:11:23.618557+00:00,2026-08-18T07:11:28.618572+00:00,5.0,6,0.6538,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.4; PCS DC current and BMS current mismatch: 54.5,3.1,5.0,62.4,6.8,3.0,1.3,0.0,0.0
441,external_ems_2,bess_2,warning,2026-08-18T07:13:20.618580+00:00,2026-08-18T07:13:32.628690+00:00,12.01,7,0.6414,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 69.4,0.9,4.3,69.4,4.4,4.0,1.4,0.0,0.0
442,external_ems_2,bess_2,warning,2026-08-18T07:15:22.618616+00:00,2026-08-18T07:15:27.618571+00:00,5.0,6,0.671,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC current and BMS current mismatch: 43.7,0.4,1.5,91.0,9.3,4.0,1.4,0.0,0.0
443,external_ems_2,bess_2,warning,2026-08-18T07:17:21.618579+00:00,2026-08-18T07:17:26.618571+00:00,5.0,6,0.6412,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.2; PCS DC current and BMS current mismatch: 58.3,0.6,1.8,59.3,6.6,6.0,1.4,0.0,0.0
444,external_ems_2,bess_2,warning,2026-08-18T07:19:23.618560+00:00,2026-08-18T07:19:26.618621+00:00,3.0,4,0.6414,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 65.1,0.8,1.2,65.1,4.8,6.0,1.4,0.0,0.0
445,external_ems_2,bess_2,warning,2026-08-18T07:23:20.618570+00:00,2026-08-18T07:23:21.628678+00:00,1.01,2,0.6538,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.8; PCS DC current and BMS current mismatch: 60.9,0.4,1.7,60.9,6.8,7.0,1.3,0.0,0.0
446,external_ems_2,bess_2,warning,2026-08-18T07:25:14.618588+00:00,2026-08-18T07:25:19.618568+00:00,5.0,6,0.5593,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch;bms_cell_voltage_spread,BMS cell voltage spread high: 9.0; PCS DC voltage and BMS voltage mismatch: 5.5; PCS DC current and BMS current mismatch: 54.3,1.2,3.1,54.3,5.5,9.0,1.3,0.0,0.0
447,external_ems_2,bess_2,warning,2026-08-18T07:29:16.619037+00:00,2026-08-18T07:29:19.618581+00:00,3.0,4,0.3593,pcs_bms_current_mismatch;bms_cell_voltage_spread,BMS cell voltage spread high: 11.0; PCS DC current and BMS current mismatch: 41.3,2.0,3.4,41.3,3.3,11.0,1.4,0.0,0.0
