UID          PID    PPID  C STIME TTY          TIME CMD
root         221       2  0 10:25 ?        00:00:00 [kworker/R-MCLIST_WORK_QUEUE]
root         233       2  0 10:25 ?        00:00:00 [kworker/R-CSAwfd-2090683424]
root         234       2  0 10:25 ?        00:00:00 [kworker/R-MCLIST_WORK_QUEUE]
root         236       2  0 10:25 ?        00:00:00 [irq/121-wifi_oob_wakeup]
rpc          255       1  0 10:25 ?        00:00:00 /usr/sbin/rpcbind -w -f
systemd+     315       1  0 10:25 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         319       1  0 10:25 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         444       1  0 10:25 ?        00:00:00 /usr/sbin/ModemManager
root         445       1  0 10:25 ?        00:00:00 /usr/sbin/atd -f
avahi        449       1  0 10:25 ?        00:00:00 avahi-daemon: running [imx93-11x11-lpddr4x-frdm.local]
root         451       1  0 10:25 ?        00:00:00 /usr/sbin/crond -n
message+     452       1  0 10:25 ?        00:00:04 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         454       1  0 10:25 ?        00:00:00 /usr/bin/firmwared -d /lib/firmware
root         458       1  0 10:25 ?        00:00:00 /usr/sbin/ofonod -n
parsec       461       1  0 10:25 ?        00:03:19 /usr/libexec/parsec/parsec --config /etc/parsec/config.toml
root         462       1  0 10:25 ?        00:00:00 seatd -g seat
root         465       1  0 10:25 ?        00:00:10 /usr/sbin/syslogd -F
root         467       1  0 10:25 ?        00:00:01 /usr/lib/systemd/systemd-logind
avahi        485     449  0 10:25 ?        00:00:00 avahi-daemon: chroot helper
systemd+     489       1  0 10:25 ?        00:00:00 /usr/lib/systemd/systemd-networkd
root         506       1  0 10:25 ?        00:00:35 /bin/sh /usr/local/sbin/kinetics-network-guard.sh
root         542       1  0 10:25 ?        00:00:37 /usr/bin/containerd
root         550       2  0 10:25 ?        00:00:02 [jbd2/mmcblk1p1-8]
root         551       2  0 10:25 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         555       1  0 10:25 tty1     00:00:00 /sbin/agetty -o -- \u --noreset --noclear - linux
root         556       1  0 10:25 ttyLP0   00:00:00 /sbin/agetty -o -- \u --noreset --noclear --keep-baud 115200,57600,38400,9600 - vt220
teesuppl     592       1  0 10:25 ?        00:00:00 /usr/sbin/tee-supplicant
root         856       1  0 10:26 ?        00:00:00 wpa_supplicant -B -Dnl80211 -i mlan0 -c /run/ems-wpa-mlan0.conf
root         942       1  3 10:26 ?        00:20:35 /bin/cloudflared --no-autoupdate --config /etc/cloudflared/config.yml tunnel run
ntp         2368       1  0 10:36 ?        00:00:06 /usr/sbin/ntpd -u ntp:ntp -n -g
root       50014       1 40 18:26 ?        00:40:19 /opt/kinetics-gateway/venv/bin/python3 /opt/kinetics-gateway/venv/bin/uvicorn app.main:app --host 0.0.0.0 --port 8000
root       55027       2  0 19:20 ?        00:00:00 [kworker/u8:0-events_unbound]
root       55757       2  0 19:28 ?        00:00:00 [kworker/1:1H-kblockd]
root       56318       2  0 19:35 ?        00:00:00 [kworker/0:1-events]
root       56779       2  0 19:40 ?        00:00:00 [kworker/u9:0-MOAL_RX_WORK_QUEUE]
root       57219       2  0 19:46 ?        00:00:00 [kworker/u9:2-MOAL_WORK_QUEUE]
root       57623       2  0 19:50 ?        00:00:00 [kworker/u8:1-events_unbound]
root       57666       2  0 19:51 ?        00:00:00 [kworker/0:0H-kblockd]
root       57676       1  0 19:51 ?        00:00:00 /usr/lib/systemd/systemd --user
root       57677       2  0 19:51 ?        00:00:00 [kworker/1:2-cgroup_free]
root       57679   57676  0 19:51 ?        00:00:00 (sd-pam)
root       57686   57676  0 19:51 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       57687       2  0 19:51 ?        00:00:00 [kworker/1:3-cgroup_free]
root       57688   57676  0 19:51 ?        00:00:00 /usr/bin/pipewire
root       57690   57676  0 19:51 ?        00:00:00 /usr/bin/wireplumber
root       57691   57676  0 19:51 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
root       57692   57676  0 19:51 ?        00:00:00 /usr/bin/pipewire-pulse
root       57721       1  0 19:51 ?        00:00:00 sshd-session: root [priv]
root       57722   57721  0 19:51 ?        00:00:00 [sshd] <defunct>
root       57726   57721  0 19:51 ?        00:00:00 sshd-session: root@pts/0
root       57727   57726  0 19:51 pts/0    00:00:00 -sh
root       58163       2  0 19:56 ?        00:00:00 [kworker/u9:1-MOAL_RX_WORK_QUEUE]
root       58212       2  0 19:56 ?        00:00:00 [kworker/0:0-mm_percpu_wq]
root       58351       2  0 19:57 ?        00:00:00 [kworker/0:1H-mmc_complete]
root       58352       2  0 19:57 ?        00:00:00 [kworker/1:2H-kblockd]
root       58371       2  0 19:57 ?        00:00:00 [kworker/u8:2-flush-179:96]
root       58464       2  0 19:57 ?        00:00:00 [kworker/u8:4]
root       58561       1  0 19:57 ?        00:00:00 /usr/bin/python3 /root/bess_seven_day_v302_compatible_scheduler.py
root       58995     319  0 20:01 ?        00:00:00 systemd-userwork: waiting...
root       59031       2  0 20:02 ?        00:00:00 [kworker/0:2-events]
root       59067     319  0 20:02 ?        00:00:00 systemd-userwork: waiting...
root       59110     319  0 20:03 ?        00:00:00 systemd-userwork: waiting...
root       59254   57727  3 20:04 pts/0    00:00:00 bash /root/build_current_gateway_snapshot.sh
root       59255   57727  0 20:04 pts/0    00:00:00 tee /root/current_gateway_snapshot_build.log
root       59431     506  0 20:04 ?        00:00:00 sleep 5
root       59529   59254  0 20:04 pts/0    00:00:00 ps -ef
